timestamp,event_type,signal,conviction,horizon,price,returns,position,position_size,trade,transaction_cost,strategy_return,cumulative_return
2024-01-01T10:00:00Z,OPEC Cut,SHORT,3,medium,100.0,,,,,,,
2024-01-02T10:00:00Z,Demand Weak,SHORT,3,medium,100.32174841698975,0.003217484169897533,-1.0,0.6,,,,
2024-01-03T10:00:00Z,OPEC Cut,SHORT,3,medium,101.23487848013237,0.009102015042113942,-1.0,0.6,0.0,0.0,-0.005461209025268365,0.9945387909747316
2024-01-04T10:00:00Z,Demand Weak,SHORT,3,medium,101.67447199340526,0.004342312845855512,-1.0,0.6,0.0,0.0,-0.002605387707513307,0.991947631834081
2024-01-05T10:00:00Z,OPEC Cut,SHORT,3,medium,101.50099266595363,-0.001706223047441835,-1.0,0.6,0.0,0.0,0.001023733828465101,0.9929631221808554
2024-01-06T10:00:00Z,Demand Weak,SHORT,3,medium,101.6077748612951,0.001052031044591839,-1.0,0.6,0.0,0.0,-0.0006312186267551035,0.992336345362454
2024-01-07T10:00:00Z,OPEC Cut,SHORT,3,medium,101.90026834658973,0.0028786526000978974,-1.0,0.6,0.0,0.0,-0.0017271915600587384,0.9906223904020044
2024-01-08T10:00:00Z,Demand Weak,SHORT,3,medium,103.01487384620927,0.010938199846819652,-1.0,0.6,0.0,0.0,-0.0065629199080917905,0.9841210149946337
2024-01-09T10:00:00Z,OPEC Cut,SHORT,3,medium,101.90017461695061,-0.0108207600285255,-1.0,0.6,0.0,0.0,0.0064924560171153,0.9905103774000052
2024-01-10T10:00:00Z,Demand Weak,SHORT,3,medium,102.44436555586194,0.005340431858502415,-1.0,0.6,0.0,0.0,-0.003204259115101449,0.9873365254946187
